Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
13/03/2015,540.75,541.25,517.25,523.75,-16,528.95,68746,147242,22,412,4087
12/03/2015,552.75,556,535,539.75,-6.5,547.56,84660,150534,341,,3764
11/03/2015,546.5,553.75,540,546.25,0.5,545.49,95468,147915,482,199,6157
10/03/2015,557,558.5,542.5,545.75,-16.5,549.21,97761,144458,648,290,1721
09/03/2015,559.5,569.5,556.5,562.25,-7.5,562.83,83493,144120,,43,2147
06/03/2015,570.25,573.75,562.25,569.75,-1.25,568.89,71900,152711,480,134,1904
05/03/2015,571.75,576,564.75,571,4,570.47,59800,149887,,34,2467
04/03/2015,573.5,577.25,564.75,567,-10,570.86,87319,146031,52,275,4555
03/03/2015,566.5,581,562,577,3,573.14,98814,140981,,329,3215
02/03/2015,587,587,560.5,574,-6.75,574.44,81395,140619,,87,2167
27/02/2015,574.75,589.5,568.5,580.75,7.75,578.6,64591,136108,,1,826
26/02/2015,582.75,588.25,562.5,573,6.25,576.59,83363,137220,1400,316,2243
25/02/2015,562.5,585,556.75,566.75,-0.25,567.66,68823,136788,382,,3936
24/02/2015,562.75,569.25,554.5,567,1.25,562.71,80369,131500,,,3638
23/02/2015,571.25,574.75,557.25,565.75,-6.25,565.35,101722,133053,,,805
20/02/2015,567,576.5,564.5,572,12.5,570.28,79739,134624,,,3860
19/02/2015,562.75,572.5,549.5,559.5,-12.25,559.42,95806,124007,,,3712
18/02/2015,578.25,580,559.5,571.75,0.5,571.17,75835,112705,,,17707
17/02/2015,579.25,584.25,566.5,571.25,-8.5,574.51,80732,106592,,471,2129
16/02/2015,581.25,586,573.5,579.75,2,579.08,42728,108850,,,1573
13/02/2015,567,581.75,565,577.75,20,574.81,87144,107691,,,2778
12/02/2015,544.5,570.75,540.25,557.75,15.75,553.66,119226,108118,,34,1147
11/02/2015,554,554,533.75,542,-9.75,541.98,82823,97414,,,1233
10/02/2015,559,561,546,551.75,-11.25,554.47,79040,94048,,,1252
09/02/2015,555.5,571.25,546,563,14.5,558.12,62792,92446,,,1799
06/02/2015,536.25,556.75,536.25,548.5,7.75,548.64,81325,86501,,,1739
05/02/2015,525,546.75,513.5,540.75,7.25,531.63,62452,83923,382,,870
04/02/2015,544.5,548.25,517.5,533.5,-2,535.14,70407,84267,,,670
03/02/2015,528.25,555.5,523.25,535.5,24,537.56,44988,84365,399,,1418
02/02/2015,494.75,526.25,494.75,511.5,33.75,511.96,50979,82415,,,878
30/01/2015,474,505.25,473,477.75,4.25,482.45,43449,87346,94,,827
29/01/2015,472,478,471.25,473.5,-6,474.73,32470,82075,,,334
28/01/2015,479.75,481.5,472.5,479.5,4,477.5,35375,78508,,,595
27/01/2015,470.25,484.75,470.25,475.5,0.5,475.76,25381,78815,,,
26/01/2015,468,483.75,468,475,-2.75,476.14,33740,73541,752,,1550
23/01/2015,475.5,485.25,475.5,477.75,2.25,479.73,29518,69658,,,848
22/01/2015,475,490,472.25,475.5,3,479.59,43852,65938,,,602
21/01/2015,469.25,480.75,469.25,472.5,-3,474.48,35623,63240,,,788
20/01/2015,474,479.25,468,475.5,0.25,472.8,31726,56954,,,400
19/01/2015,482,484.5,473.25,475.25,0.5,477.85,16178,56979,,,224
16/01/2015,473.5,485.75,470.5,474.75,-0.75,478.97,38943,54755,,,200
15/01/2015,478.75,499.5,468,475.5,12.25,480.32,44320,52280,,,578
14/01/2015,466.75,485,459.5,463.25,-0.5,466.27,27366,51317,,,100
13/01/2015,471.5,473.5,458.75,463.75,-13,464.76,28313,43819,,,
12/01/2015,487.75,488,472.75,476.75,-7.5,479.91,24505,41061,,,166
09/01/2015,498.25,499,483.75,484.25,-9,491.97,24251,38112,,,
08/01/2015,497.25,500,487,493.25,2.25,494.48,21380,33435,,,459
07/01/2015,496.75,501.25,487,491,-11.5,494.42,18439,31323,,,234
06/01/2015,516.25,516.75,495.25,502.5,-8.5,505,18728,27396,,,81
05/01/2015,529.25,531.5,509.25,511,-25,519.36,12800,26474,,,703
02/01/2015,548.25,548.25,527.75,536,,535.47,4678,25816,,,
31/12/2014,539.25,546.25,528.75,529.75,-11.75,534.21,3813,26115,,,
30/12/2014,541.75,547,534,541.5,-12,541.47,4478,25828,,,
29/12/2014,558.5,562.75,539.75,553.5,-3.75,552.7,4871,25676,,,
26/12/2014,559.75,562.75,553.25,557.25,,557.27,2995,25070,,,
24/12/2014,570.75,572.25,554.25,560.25,-6.75,561.46,2488,24932,,,
23/12/2014,565,577.75,562.5,567,3.5,568.19,3515,24890,,,
22/12/2014,571.5,581.5,563,563.5,-1.75,569.3,4223,24131,,,
19/12/2014,559.5,578.5,557.25,565.25,2.5,564.81,3135,24149,,,
18/12/2014,570.5,589,556.5,562.75,-5.25,575.94,6090,24330,,,239
17/12/2014,560.25,588,555.25,568,-3.25,566.64,6954,25114,,,
16/12/2014,570,573,556.75,571.25,-6,562.49,5028,25705,,,134
15/12/2014,576.25,591.25,570,577.25,-7.5,582.09,6028,25956,,,
12/12/2014,593,593.5,579.25,584.75,-13.75,588.49,8206,24802,,,50
11/12/2014,605,606,594.75,598.5,-2,600.85,9312,22360,855,22,67
10/12/2014,599.75,600.75,575.75,581.75,-22.25,588.68,33362,18455,4441,48,180
09/12/2014,598.25,605.5,593.25,604,2.5,600.9,29974,34875,5957,699,1314
08/12/2014,615.25,615.25,597.5,601.5,-17,605.59,26808,43836,5395,206,
05/12/2014,620.75,624.25,615.5,618.5,-3.5,619.79,22032,52729,4148,206,50
04/12/2014,627.25,632,621,622,-12,625.45,17909,62844,887,152,744
03/12/2014,638,639.25,625,634,-7,633.87,30338,70776,2642,12,501
02/12/2014,648.75,654.5,632.25,641,-5.75,644.54,51166,79305,2484,6,201
01/12/2014,639,655.25,618.5,646.75,-10,637.09,28520,83926,2624,334,868
28/11/2014,651,661,633,656.75,13.5,653.21,29362,85210,407,362,1608
27/11/2014,687,687,640.75,643.25,-51.5,667.48,35266,85890,373,568,1173
26/11/2014,693.75,697.75,686.5,694.75,0.5,692.68,30070,90610,876,448,2418
25/11/2014,705,709,690.75,694.25,-12.5,699.57,39304,91717,2155,362,1389
24/11/2014,707.5,709.5,699.5,706.75,2.5,704.46,35686,99726,818,346,1391
21/11/2014,702,717,698.5,704.25,8.5,705.49,46988,106914,1404,153,1809
20/11/2014,691.5,703.5,688,695.75,-1.75,695.04,41100,112931,1451,299,1526
19/11/2014,694.5,704.5,690.5,697.5,-0.5,698.3,44682,121354,951,287,1371
18/11/2014,700.25,707.25,694.75,698,0.25,699.96,46565,121326,955,294,2907
17/11/2014,707.5,707.5,694.5,697.75,-0.25,698.87,62241,117726,514,281,896
14/11/2014,700,709.75,689.5,698,-7,701.19,65043,123760,528,62,2851
13/11/2014,720.5,723,693.5,705,-23.25,709.27,102871,126367,29,346,3729
12/11/2014,726.5,732.25,719.5,728.25,4.75,727.55,83159,130609,1090,150,13034
11/11/2014,732.75,732.75,722.25,725,-17.5,728.05,18657,15809,4760,10,490
10/11/2014,744.75,755.75,732,742.5,1.75,746.33,24938,24842,7693,,436
07/11/2014,730,745.25,727,740.75,16,738.35,34052,35994,5492,4,778
06/11/2014,728.75,732.75,722.25,724.75,-4.75,726.61,30791,43524,2834,,1141
05/11/2014,726.5,741,718.75,729.5,3.25,729.57,50009,50516,2436,,943
04/11/2014,738.25,741,724.75,726.25,-20.25,729.56,51296,52912,2378,4,3515
03/11/2014,743.25,755.5,737.5,746.5,4.75,748.29,46796,57873,1838,144,1553
31/10/2014,745.25,751.5,733,741.75,-4.75,740.53,61351,68381,1720,210,8920
30/10/2014,751.5,753.25,743.75,746.5,-10.5,747.28,43051,69631,1865,61,1139
29/10/2014,742,759.25,741,757,17.25,751.34,46324,75496,1270,76,1923
28/10/2014,735.75,743.5,732.5,739.75,2,737.22,31749,80254,2786,141,1255
27/10/2014,737,739,727.25,737.75,2.25,733.93,32589,84954,811,32,1846
24/10/2014,740.5,742.5,730.25,735.5,-6,736.1,26689,84375,580,462,833
23/10/2014,728.25,745.5,725,741.5,-0.25,736.17,47398,88089,2320,190,1044
22/10/2014,741,746.5,727.75,741.75,6,740.51,54525,87361,924,158,971
21/10/2014,732.25,743.25,732,735.75,4.25,737.59,48185,92116,1132,189,3575
20/10/2014,739.75,743,727,731.5,-3.5,735.35,55675,97687,1951,268,1171
18/10/2014,739.75,743,727,731.5,-3.5,735.35,55675,97687,1951,268,1171
17/10/2014,755.5,756.75,755.5,756.5,8.75,755.71,245,2339,346,255,1750
16/10/2014,725.25,749,716.75,726.25,-6.5,726.78,91925,106615,735,465,1697
15/10/2014,739.75,740.75,722.5,732.75,-13.5,731.84,102388,119263,577,93,3665
14/10/2014,759.25,763,731.75,746.25,-14.25,748.9,113421,130424,1925,138,3666
13/10/2014,769.5,769.5,756.25,760.5,-3.25,760.79,80762,148307,507,39,2822
10/10/2014,760.75,772,751.5,763.75,-6,761.76,97514,159555,20,270,2837
09/10/2014,772.5,774.75,751.75,766.25,-3,766.85,36327,26640,5804,937,1246
08/10/2014,780.5,781,766.75,769.25,-7.75,771.58,36908,44441,8986,192,1190
07/10/2014,787,787.25,776.5,777,-1.75,781.92,27502,54771,3259,186,3272
06/10/2014,782.5,789.75,777.5,778.75,0.5,783.29,27917,68105,1423,131,5047
03/10/2014,794,796.75,777.75,778.25,-7.5,785.18,27766,75915,584,114,1508
02/10/2014,799.5,800.5,781,785.75,-22.5,788.22,40160,89815,955,102,6464
01/10/2014,797,811.5,796,808.25,2.75,804.09,42292,96091,787,157,2350
30/09/2014,815.5,821.25,795.25,805.5,-9.5,804.09,38702,100200,2815,539,1584
29/09/2014,813.5,818.5,809.5,815,2.25,813.94,29852,103515,1936,135,2261
25/09/2014,813.5,818.25,809,813.75,7,812.96,46839,114164,1326,44,1621
24/09/2014,812.25,815.25,803.75,806.75,-4.75,812.96,36885,120263,2161,37,3855
23/09/2014,814.5,819.25,811,811.5,-3.5,815.08,39816,122776,1197,400,1881
22/09/2014,824,824.5,812,815,-8.25,818.12,43026,131813,1750,377,958
19/09/2014,822.5,826.75,820.75,823.25,-0.75,823.52,47208,139251,360,521,1115
18/09/2014,831,832.25,820.75,824,-10.75,826.43,51953,142170,560,484,5408
17/09/2014,835,839.75,831.5,834.75,0,835.22,47615,147424,1672,56,2044
16/09/2014,831.5,839.25,826.25,834.75,3.25,833.05,49159,151808,117,303,2420
15/09/2014,837,841.5,832.5,837.75,-0.5,837.19,19319,85716,,,247
12/09/2014,835.5,843.25,831,832.25,-0.75,836.54,62211,158710,24,269,814
