Date,Open,High,Low,Close,Volume,Adj Close
02/12/2013,15.84,15.97,15.06,15.57,81838900,15.314128
01/11/2013,14,15.98,13.8,15.82,105192300,15.550006
01/10/2013,13.85,14.72,13.68,13.97,93637500,13.73158
03/09/2013,14.3,14.83,13.6,13.8,90972500,13.564481
01/08/2013,14.85,14.97,13.98,14.12,91225700,13.86928
01/07/2013,12.95,15.03,12.73,14.6,117692600,14.340757
03/06/2013,13.69,13.73,12.13,12.86,134057000,12.631653
01/05/2013,12.2,13.99,12.05,13.66,140423700,13.407405
01/04/2013,12.15,12.54,11.23,12.31,136690600,12.082369
01/03/2013,11.13,12.94,11.02,12.18,164543000,11.954773
01/02/2013,11.41,12.42,10.98,11.23,179200800,11.022339
02/01/2013,12.05,12.2,11.02,11.32,163806000,11.100693
03/12/2012,9.93,11.69,9.77,11.61,183824500,11.385075
01/11/2012,9.34,9.97,8.92,9.86,155942600,9.659221
01/10/2012,8.87,9.65,8.85,9.32,146514000,9.130217
04/09/2012,8,9.79,7.93,8.83,173058400,8.650195
01/08/2012,7.35,8.4,7.1,7.99,104471100,7.817516
02/07/2012,8.2,8.21,6.9,7.34,138117600,7.181548
01/06/2012,7.12,8.22,6.85,8.18,205706700,8.003414
01/05/2012,8.11,8.4,6.72,7.35,201195000,7.191332
02/04/2012,9.54,9.78,7.95,8.11,223249900,7.92426
01/03/2012,8.09,10.1,7.66,9.57,321398600,9.350822
01/02/2012,7.25,8.35,7.21,7.97,311534500,7.787467
03/01/2012,5.75,7.5,5.62,7.13,314075000,6.958125
01/12/2011,5.37,5.95,4.92,5.56,245117000,5.425971
01/11/2011,6.38,6.98,5.03,5.44,290781200,5.308864
03/10/2011,6.08,7.43,5.13,6.83,294758000,6.652236
01/09/2011,8.18,8.18,6,6.12,267167500,5.960715
01/08/2011,10.04,10.05,6.01,8.17,394741000,7.95736
01/07/2011,10.98,11.14,9.4,9.71,174631500,9.445632
01/06/2011,11.71,11.74,10.4,10.96,181135700,10.661599
02/05/2011,12.36,12.71,11.29,11.75,126607100,11.420362
01/04/2011,13.45,13.88,12.15,12.28,130723500,11.935493
01/03/2011,14.32,14.7,13.16,13.33,146247600,12.956037
01/02/2011,13.9,14.95,13.79,14.29,154156200,13.879133
03/01/2011,13.85,15.31,13.4,13.73,238471100,13.335235
01/12/2010,11.17,13.49,10.97,13.34,185220100,12.956449
01/11/2010,11.5,12.74,10.91,10.95,199889600,10.625453
01/10/2010,13.22,13.66,11.03,11.45,279162700,11.110633
01/09/2010,12.64,14.06,12.6,13.1,148410000,12.711729
02/08/2010,14.38,14.47,12.18,12.46,144688000,12.080995
01/07/2010,14.32,15.72,13.3,14.04,175718000,13.612934
01/06/2010,15.58,16.1,14.3,14.37,141844500,13.932896
